describe,introduce,invaluate,movie_name,serial_number,star
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,302269人评价,大鱼,97,8.7
大时代中的人生，小人物的悲喜。,1936/美国/喜剧剧情爱情,116573人评价,摩登时代,98,9.2
没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,409241人评价,告白,99,8.7
我们都曾经是一一。,2000/台湾日本/剧情爱情家庭,184619人评价,一一,100,9.0
百看不厌。 ,1993/香港/喜剧古装,329417人评价,射雕英雄传之东成西就,101,8.7
相逢只要一瞬间，等待却像是一辈子。,1996/香港/剧情爱情,270871人评价,甜蜜蜜,102,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,324674人评价,阳光姐妹淘,103,8.8
年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,439016人评价,消失的爱人,104,8.7
缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,270638人评价,爱在黎明破晓前,105,8.7
被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,179842人评价,上帝之城,106,8.9
我是一个演员。,1999/香港/喜剧剧情爱情,399474人评价,喜剧之王,107,8.6
那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,177470人评价,小森林 夏秋篇,108,8.9
少女情怀总是诗。,1995/日本/剧情爱情动画,209975人评价,侧耳倾听,109,8.8
两张绝世的脸。 ,1987/香港/剧情爱情武侠古装,324514人评价,倩女幽魂,110,8.6
恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,285324人评价,恐怖直播,111,8.7
动画片的圣经。,1984/日本/动画奇幻冒险,209478人评价,风之谷,112,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国/剧情爱情,238902人评价,爱在日落黄昏时,113,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,215634人评价,超脱,114,8.8
梦的勾结。,2006/日本/动画悬疑科幻惊悚,169088人评价,红辣椒,115,8.9
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,230828人评价,菊次郎的夏天,116,8.8
和谐的生活离不开摸头与被摸头。,2010/美国/喜剧动画奇幻冒险,349281人评价,驯龙高手,117,8.7
有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,267178人评价,幸福终点站,118,8.7
Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,470733人评价,神偷奶爸,119,8.5
曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,258779人评价,借东西的小人阿莉埃蒂,120,8.7
关于连环杀人悬案的集体回忆。,2003/韩国/犯罪剧情悬疑惊悚,250879人评价,杀人回忆,121,8.7
时代悲歌。,1954/日本/动作冒险剧情,94079人评价,七武士,122,9.2
岁月流逝，来日可追。,2010/香港中国大陆/剧情家庭,352124人评价,岁月神偷,123,8.6
沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国/剧情爱情同性,240273人评价,请以你的名字呼唤我,124,8.8
10年的完美句点。,2011/美国英国/剧情悬疑奇幻冒险,336977人评价,哈利·波特与死亡圣器(下),125,8.7
幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,237983人评价,萤火虫之墓,126,8.7
不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,299868人评价,怪兽电力公司,127,8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,153676人评价,小森林 冬春篇,128,9.0
请记住，永远别忘了你的家人有多爱你。,2017/美国/喜剧动画奇幻音乐,605158人评价,寻梦环游记,129,9.0
